Quick Sort; Direct<char, 128ul> type; 128 byte length; 1 iteration; 16 strings array; 6.894 sort μs; 17.939 rand gen μs; 27.113 overhead μs; 51.946 total μs; 35.000 swaps; 74.000 compares
Merge Sort; Head<128ul, 7ul, 16ul> type; 128 byte length; 1 iteration; 524288 strings array; 133955.504 sort μs; 452348.345 rand gen μs; 782.073 overhead μs; 587085.922 total μs; 9629950.000 swaps; 9298193.000 compares
Merge Sort; Head<128ul, 7ul, 16ul> type; 128 byte length; 1 iteration; 1048576 strings array; 289354.430 sort μs; 902854.425 rand gen μs; 1374.687 overhead μs; 1193583.542 total μs; 20308740.000 swaps; 19645715.000 compares
Merge Sort; Head<128ul, 7ul, 16ul> type; 128 byte length; 1 iteration; 2097152 strings array; 607889.184 sort μs; 1805806.544 rand gen μs; 3079.302 overhead μs; 2416775.030 total μs; 42713700.000 swaps; 41387428.000 compares
Merge Sort; Head<128ul, 7ul, 16ul> type; 128 byte length; 1 iteration; 4194304 strings array; 1296270.075 sort μs; 3613835.809 rand gen μs; 6300.467 overhead μs; 4916406.351 total μs; 89623163.000 swaps; 86971112.000 compares
Merge Sort; Head<128ul, 7ul, 16ul> type; 128 byte length; 1 iteration; 8388608 strings array; 2744942.164 sort μs; 7225579.008 rand gen μs; 12828.456 overhead μs; 9983349.628 total μs; 187635779.000 swaps; 182330758.000 compares
Merge Sort; Head<128ul, 7ul, 16ul> type; 128 byte length; 1 iteration; 16777216 strings array; 5795844.022 sort μs; 14463224.281 rand gen μs; 25590.557 overhead μs; 20284658.860 total μs; 392043012.000 swaps; 381435523.000 compares
Merge Sort; Head<128ul, 7ul, 16ul> type; 128 byte length; 1 iteration; 33554432 strings array; 12185007.927 sort μs; 28900070.869 rand gen μs; 51496.738 overhead μs; 41136575.534 total μs; 817644790.000 swaps; 796428868.000 compares
Quick Sort; std::string type; 128 byte length; 1 iteration; 16 strings array; 14.275 sort μs; 21.288 rand gen μs; 22.186 overhead μs; 57.749 total μs; 33.000 swaps; 94.000 compares
Quick Sort; std::string type; 128 byte length; 1 iteration; 32 strings array; 4.160 sort μs; 34.055 rand gen μs; 27.917 overhead μs; 66.132 total μs; 72.000 swaps; 202.000 compares
Quick Sort; std::string type; 128 byte length; 1 iteration; 64 strings array; 10.601 sort μs; 59.742 rand gen μs; 8.382 overhead μs; 78.725 total μs; 159.000 swaps; 600.000 compares
Quick Sort; std::string type; 128 byte length; 1 iteration; 128 strings array; 21.351 sort μs; 115.434 rand gen μs; 10.145 overhead μs; 146.930 total μs; 354.000 swaps; 1184.000 compares
Quick Sort; std::string type; 128 byte length; 1 iteration; 256 strings array; 48.220 sort μs; 262.777 rand gen μs; 14.133 overhead μs; 325.130 total μs; 788.000 swaps; 2747.000 compares
Quick Sort; std::string type; 128 byte length; 1 iteration; 512 strings array; 106.817 sort μs; 482.455 rand gen μs; 20.770 overhead μs; 610.042 total μs; 1646.000 swaps; 6049.000 compares
Quick Sort; std::string type; 128 byte length; 1 iteration; 1024 strings array; 220.343 sort μs; 973.258 rand gen μs; 47.611 overhead μs; 1241.212 total μs; 3589.000 swaps; 13241.000 compares
Quick Sort; std::string type; 128 byte length; 1 iteration; 2048 strings array; 491.267 sort μs; 1875.418 rand gen μs; 79.270 overhead μs; 2445.955 total μs; 7527.000 swaps; 30756.000 compares
Quick Sort; std::string type; 128 byte length; 1 iteration; 4096 strings array; 1096.491 sort μs; 3766.076 rand gen μs; 163.536 overhead μs; 5026.103 total μs; 16006.000 swaps; 69890.000 compares
Quick Sort; std::string type; 128 byte length; 1 iteration; 8192 strings array; 2461.295 sort μs; 7591.058 rand gen μs; 378.913 overhead μs; 10431.266 total μs; 34119.000 swaps; 147413.000 compares
Quick Sort; std::string type; 128 byte length; 1 iteration; 16384 strings array; 6682.103 sort μs; 15337.013 rand gen μs; 1214.592 overhead μs; 23233.708 total μs; 71489.000 swaps; 331661.000 compares
Quick Sort; std::string type; 128 byte length; 1 iteration; 32768 strings array; 14214.559 sort μs; 30779.071 rand gen μs; 2521.523 overhead μs; 47515.153 total μs; 152382.000 swaps; 647679.000 compares
Quick Sort; std::string type; 128 byte length; 1 iteration; 65536 strings array; 28876.600 sort μs; 60956.729 rand gen μs; 6632.410 overhead μs; 96465.739 total μs; 319453.000 swaps; 1432101.000 compares
Quick Sort; std::string type; 128 byte length; 1 iteration; 131072 strings array; 66500.155 sort μs; 121650.268 rand gen μs; 17428.115 overhead μs; 205578.538 total μs; 670075.000 swaps; 3044459.000 compares
Quick Sort; std::string type; 128 byte length; 1 iteration; 262144 strings array; 147722.628 sort μs; 244172.023 rand gen μs; 42428.529 overhead μs; 434323.180 total μs; 1396455.000 swaps; 6353518.000 compares
Quick Sort; std::string type; 128 byte length; 1 iteration; 524288 strings array; 341735.285 sort μs; 485792.775 rand gen μs; 97269.010 overhead μs; 924797.070 total μs; 2917261.000 swaps; 13491184.000 compares
Quick Sort; std::string type; 128 byte length; 1 iteration; 1048576 strings array; 761435.349 sort μs; 971666.860 rand gen μs; 214808.872 overhead μs; 1947911.081 total μs; 6090747.000 swaps; 28329148.000 compares
Quick Sort; std::string type; 128 byte length; 1 iteration; 2097152 strings array; 1797613.589 sort μs; 1941428.006 rand gen μs; 454850.091 overhead μs; 4193891.686 total μs; 12545362.000 swaps; 61929364.000 compares
Quick Sort; std::string type; 128 byte length; 1 iteration; 4194304 strings array; 3983324.551 sort μs; 3882122.101 rand gen μs; 948458.231 overhead μs; 8813904.883 total μs; 26244633.000 swaps; 127026188.000 compares
Quick Sort; std::string type; 128 byte length; 1 iteration; 8388608 strings array; 8878799.702 sort μs; 7756706.112 rand gen μs; 2032094.958 overhead μs; 18667600.772 total μs; 54429948.000 swaps; 263346994.000 compares
Quick Sort; std::string type; 128 byte length; 1 iteration; 16777216 strings array; 19852175.815 sort μs; 15510446.469 rand gen μs; 4884913.695 overhead μs; 40247535.979 total μs; 112985510.000 swaps; 546597755.000 compares
Quick Sort; std::string type; 128 byte length; 1 iteration; 33554432 strings array; 44356151.289 sort μs; 31026894.495 rand gen μs; 11104947.079 overhead μs; 86487992.863 total μs; 233792458.000 swaps; 1135925367.000 compares
