Merge Sort; Direct<char, 8ul> type; 8 byte length; 1 iteration; 524288 strings array; 151366.915 sort μs; 32157.397 rand gen μs; 26.166 overhead μs; 183550.478 total μs; 9629251.000 swaps; 9298548.000 compares
Merge Sort; Direct<char, 8ul> type; 8 byte length; 1 iteration; 1048576 strings array; 323205.523 sort μs; 64203.044 rand gen μs; 32.174 overhead μs; 387440.741 total μs; 20308784.000 swaps; 19646070.000 compares
Merge Sort; Direct<char, 8ul> type; 8 byte length; 1 iteration; 2097152 strings array; 688540.735 sort μs; 128333.254 rand gen μs; 25.703 overhead μs; 816899.692 total μs; 42713617.000 swaps; 41387873.000 compares
Merge Sort; Direct<char, 8ul> type; 8 byte length; 1 iteration; 4194304 strings array; 1453175.416 sort μs; 256550.663 rand gen μs; 24.790 overhead μs; 1709750.869 total μs; 89623703.000 swaps; 86971777.000 compares
Merge Sort; Direct<char, 8ul> type; 8 byte length; 1 iteration; 8388608 strings array; 3059840.231 sort μs; 514131.222 rand gen μs; 25.722 overhead μs; 3573997.175 total μs; 187633366.000 swaps; 182330781.000 compares
Merge Sort; Direct<char, 8ul> type; 8 byte length; 1 iteration; 16777216 strings array; 6443854.085 sort μs; 1026960.135 rand gen μs; 30.409 overhead μs; 7470844.629 total μs; 392047816.000 swaps; 381439687.000 compares
Merge Sort; Direct<char, 8ul> type; 8 byte length; 1 iteration; 33554432 strings array; 13537222.376 sort μs; 2054392.543 rand gen μs; 34.967 overhead μs; 15591649.886 total μs; 817645619.000 swaps; 796429015.000 compares
Merge Sort; Direct<char, 8ul> type; 8 byte length; 1 iteration; 67108864 strings array; 28363448.645 sort μs; 4109277.508 rand gen μs; 36.007 overhead μs; 32472762.160 total μs; 1702405254.000 swaps; 1659970554.000 compares
Merge Sort; Direct<char, 8ul> type; 8 byte length; 1 iteration; 134217728 strings array; 59309478.212 sort μs; 8217060.635 rand gen μs; 34.269 overhead μs; 67526573.116 total μs; 3539024011.000 swaps; 3454168952.000 compares
Merge Sort; Direct<char, 8ul> type; 8 byte length; 1 iteration; 268435456 strings array; 122162461.226 sort μs; 16435520.747 rand gen μs; 30.333 overhead μs; 138598012.306 total μs; 7346477854.000 swaps; 7176767448.000 compares
Quick Sort; Symbiont<8ul, 3ul> type; 8 byte length; 1 iteration; 16 strings array; 3.267 sort μs; 2.240 rand gen μs; 29.832 overhead μs; 35.339 total μs; 32.000 swaps; 68.000 compares
Quick Sort; Symbiont<8ul, 3ul> type; 8 byte length; 1 iteration; 32 strings array; 3.267 sort μs; 2.552 rand gen μs; 6.644 overhead μs; 12.463 total μs; 76.000 swaps; 194.000 compares
Quick Sort; Symbiont<8ul, 3ul> type; 8 byte length; 1 iteration; 64 strings array; 8.254 sort μs; 4.383 rand gen μs; 5.962 overhead μs; 18.599 total μs; 160.000 swaps; 638.000 compares
Quick Sort; Symbiont<8ul, 3ul> type; 8 byte length; 1 iteration; 128 strings array; 14.372 sort μs; 8.654 rand gen μs; 6.705 overhead μs; 29.731 total μs; 359.000 swaps; 1114.000 compares
Quick Sort; Symbiont<8ul, 3ul> type; 8 byte length; 1 iteration; 256 strings array; 34.843 sort μs; 16.336 rand gen μs; 5.844 overhead μs; 57.023 total μs; 792.000 swaps; 2827.000 compares
Quick Sort; Symbiont<8ul, 3ul> type; 8 byte length; 1 iteration; 512 strings array; 69.909 sort μs; 31.976 rand gen μs; 6.737 overhead μs; 108.622 total μs; 1672.000 swaps; 5706.000 compares
Quick Sort; Symbiont<8ul, 3ul> type; 8 byte length; 1 iteration; 1024 strings array; 154.449 sort μs; 63.367 rand gen μs; 6.788 overhead μs; 224.604 total μs; 3575.000 swaps; 13261.000 compares
Quick Sort; Symbiont<8ul, 3ul> type; 8 byte length; 1 iteration; 2048 strings array; 341.542 sort μs; 125.790 rand gen μs; 7.501 overhead μs; 474.833 total μs; 7593.000 swaps; 31282.000 compares
Quick Sort; Symbiont<8ul, 3ul> type; 8 byte length; 1 iteration; 4096 strings array; 707.122 sort μs; 250.877 rand gen μs; 9.561 overhead μs; 967.560 total μs; 16040.000 swaps; 66527.000 compares
Quick Sort; Symbiont<8ul, 3ul> type; 8 byte length; 1 iteration; 8192 strings array; 1602.087 sort μs; 508.423 rand gen μs; 12.429 overhead μs; 2122.939 total μs; 34104.000 swaps; 149837.000 compares
Quick Sort; Symbiont<8ul, 3ul> type; 8 byte length; 1 iteration; 16384 strings array; 3293.156 sort μs; 1006.324 rand gen μs; 19.333 overhead μs; 4318.813 total μs; 71695.000 swaps; 317606.000 compares
Quick Sort; Symbiont<8ul, 3ul> type; 8 byte length; 1 iteration; 32768 strings array; 7062.337 sort μs; 2007.105 rand gen μs; 31.368 overhead μs; 9100.810 total μs; 151549.000 swaps; 669793.000 compares
