Quick Sort; Head<8ul, 7ul, 16ul> type; 8 byte length; 10 iteration; 256 strings array; 25.275 sort μs; 16.315 rand gen μs; 2.707 overhead μs; 44.297 total μs; 779.100 swaps; 2723.100 compares
Quick Sort; Head<16ul, 7ul, 16ul> type; 16 byte length; 10 iteration; 256 strings array; 30.309 sort μs; 28.200 rand gen μs; 0.977 overhead μs; 59.486 total μs; 769.700 swaps; 2742.000 compares
Quick Sort; Head<32ul, 7ul, 16ul> type; 32 byte length; 10 iteration; 256 strings array; 29.443 sort μs; 59.581 rand gen μs; 1.027 overhead μs; 90.052 total μs; 777.900 swaps; 2754.000 compares
Quick Sort; Head<64ul, 7ul, 16ul> type; 64 byte length; 10 iteration; 256 strings array; 30.778 sort μs; 122.075 rand gen μs; 2.045 overhead μs; 154.899 total μs; 776.000 swaps; 2730.900 compares
Quick Sort; Head<128ul, 7ul, 16ul> type; 128 byte length; 10 iteration; 256 strings array; 29.245 sort μs; 224.273 rand gen μs; 1.114 overhead μs; 254.632 total μs; 778.000 swaps; 2655.800 compares
Quick Sort; Head<256ul, 7ul, 16ul> type; 256 byte length; 10 iteration; 256 strings array; 28.619 sort μs; 433.040 rand gen μs; 1.070 overhead μs; 462.728 total μs; 775.100 swaps; 2663.800 compares
Quick Sort; Head<512ul, 7ul, 16ul> type; 512 byte length; 10 iteration; 256 strings array; 31.199 sort μs; 869.731 rand gen μs; 1.071 overhead μs; 902.001 total μs; 777.500 swaps; 2756.000 compares
Quick Sort; Head<1024ul, 7ul, 16ul> type; 1024 byte length; 10 iteration; 256 strings array; 29.444 sort μs; 1742.086 rand gen μs; 2.537 overhead μs; 1774.067 total μs; 775.600 swaps; 2748.900 compares
Quick Sort; Head<2ul, 7ul, 16ul> type; 2 byte length; 10 iteration; 512 strings array; 59.290 sort μs; 27.212 rand gen μs; 2.180 overhead μs; 88.682 total μs; 1667.300 swaps; 6218.800 compares
Quick Sort; Head<4ul, 7ul, 16ul> type; 4 byte length; 10 iteration; 512 strings array; 61.731 sort μs; 31.506 rand gen μs; 1.181 overhead μs; 94.418 total μs; 1662.800 swaps; 6202.100 compares
Quick Sort; Head<8ul, 7ul, 16ul> type; 8 byte length; 10 iteration; 512 strings array; 55.963 sort μs; 31.694 rand gen μs; 1.163 overhead μs; 88.820 total μs; 1665.200 swaps; 6333.700 compares
Quick Sort; Head<16ul, 7ul, 16ul> type; 16 byte length; 10 iteration; 512 strings array; 67.227 sort μs; 59.507 rand gen μs; 1.116 overhead μs; 127.850 total μs; 1668.300 swaps; 6192.800 compares
Quick Sort; Head<32ul, 7ul, 16ul> type; 32 byte length; 10 iteration; 512 strings array; 63.068 sort μs; 113.627 rand gen μs; 1.153 overhead μs; 177.847 total μs; 1655.700 swaps; 6223.700 compares
