Quick Sort; Symbiont<1024ul, 3ul, 32ul> type; 1024 byte length; 10 iteration; 256 strings array; 31.361 sort μs; 1729.451 rand gen μs; 5.165 overhead μs; 1765.976 total μs; 773.100 swaps; 2698.100 compares
Quick Sort; Symbiont<2ul, 3ul, 32ul> type; 2 byte length; 10 iteration; 512 strings array; 59.765 sort μs; 26.148 rand gen μs; 2.184 overhead μs; 88.096 total μs; 1665.900 swaps; 6146.800 compares
Quick Sort; Symbiont<4ul, 3ul, 32ul> type; 4 byte length; 10 iteration; 512 strings array; 55.053 sort μs; 28.043 rand gen μs; 1.189 overhead μs; 84.284 total μs; 1662.200 swaps; 6143.700 compares
Quick Sort; Symbiont<8ul, 3ul, 32ul> type; 8 byte length; 10 iteration; 512 strings array; 59.425 sort μs; 32.086 rand gen μs; 1.134 overhead μs; 92.645 total μs; 1670.100 swaps; 6063.700 compares
Quick Sort; Symbiont<16ul, 3ul, 32ul> type; 16 byte length; 10 iteration; 512 strings array; 64.348 sort μs; 59.574 rand gen μs; 1.178 overhead μs; 125.100 total μs; 1667.900 swaps; 6199.900 compares
Quick Sort; Symbiont<32ul, 3ul, 32ul> type; 32 byte length; 10 iteration; 512 strings array; 75.925 sort μs; 122.052 rand gen μs; 1.304 overhead μs; 199.281 total μs; 1659.300 swaps; 6132.000 compares
Quick Sort; Symbiont<64ul, 3ul, 32ul> type; 64 byte length; 10 iteration; 512 strings array; 67.837 sort μs; 229.255 rand gen μs; 1.688 overhead μs; 298.779 total μs; 1667.200 swaps; 6102.500 compares
Quick Sort; Symbiont<128ul, 3ul, 32ul> type; 128 byte length; 10 iteration; 512 strings array; 69.204 sort μs; 443.035 rand gen μs; 1.590 overhead μs; 513.829 total μs; 1662.300 swaps; 6214.400 compares
Quick Sort; Symbiont<256ul, 3ul, 32ul> type; 256 byte length; 10 iteration; 512 strings array; 70.075 sort μs; 869.353 rand gen μs; 1.740 overhead μs; 941.168 total μs; 1672.100 swaps; 6067.400 compares
Quick Sort; Symbiont<512ul, 3ul, 32ul> type; 512 byte length; 10 iteration; 512 strings array; 68.238 sort μs; 1744.560 rand gen μs; 3.250 overhead μs; 1816.048 total μs; 1659.800 swaps; 6166.800 compares
Quick Sort; Symbiont<1024ul, 3ul, 32ul> type; 1024 byte length; 10 iteration; 512 strings array; 71.088 sort μs; 3451.024 rand gen μs; 9.958 overhead μs; 3532.070 total μs; 1664.800 swaps; 6199.500 compares
