Quick Sort; std::string type; 64 byte length; 10 iteration; 65536 strings array; 30872.547 sort μs; 32671.124 rand gen μs; 4036.693 overhead μs; 67580.365 total μs; 319575.700 swaps; 1410856.800 compares
Quick Sort; std::string type; 128 byte length; 10 iteration; 65536 strings array; 28898.785 sort μs; 60898.774 rand gen μs; 6848.081 overhead μs; 96645.640 total μs; 319495.100 swaps; 1410237.900 compares
Quick Sort; std::string type; 256 byte length; 10 iteration; 65536 strings array; 31346.295 sort μs; 117094.365 rand gen μs; 7897.223 overhead μs; 156337.884 total μs; 319372.900 swaps; 1416836.200 compares
Quick Sort; std::string type; 512 byte length; 10 iteration; 65536 strings array; 35927.606 sort μs; 228633.773 rand gen μs; 9814.563 overhead μs; 274375.942 total μs; 319384.100 swaps; 1421420.400 compares
Quick Sort; std::string type; 1024 byte length; 10 iteration; 65536 strings array; 41691.115 sort μs; 452161.771 rand gen μs; 12733.378 overhead μs; 506586.264 total μs; 319314.000 swaps; 1416357.000 compares
Quick Sort; std::string type; 2 byte length; 1 iteration; 131072 strings array; 6.05e+04 sort μs; 1.41e+04 rand gen μs; 7.13e+03 overhead μs; 8.18e+04 total μs; 765306.000 swaps; 2828016.000 compares
Quick Sort; std::string type; 4 byte length; 1 iteration; 131072 strings array; 64629.312 sort μs; 17501.380 rand gen μs; 7284.036 overhead μs; 89414.728 total μs; 671004.000 swaps; 3062970.000 compares
Quick Sort; std::string type; 8 byte length; 1 iteration; 131072 strings array; 62659.625 sort μs; 17105.500 rand gen μs; 6815.687 overhead μs; 86580.812 total μs; 671405.000 swaps; 3056724.000 compares
Quick Sort; std::string type; 16 byte length; 1 iteration; 131072 strings array; 64968.315 sort μs; 27804.941 rand gen μs; 9243.365 overhead μs; 102016.621 total μs; 669247.000 swaps; 3077358.000 compares
Quick Sort; std::string type; 32 byte length; 1 iteration; 131072 strings array; 65188.546 sort μs; 47790.898 rand gen μs; 9918.334 overhead μs; 122897.778 total μs; 668967.000 swaps; 3072843.000 compares
Quick Sort; std::string type; 64 byte length; 1 iteration; 131072 strings array; 74593.257 sort μs; 78891.459 rand gen μs; 12479.491 overhead μs; 165964.207 total μs; 663207.000 swaps; 3142197.000 compares
Quick Sort; std::string type; 128 byte length; 1 iteration; 131072 strings array; 67490.134 sort μs; 131819.884 rand gen μs; 17967.222 overhead μs; 217277.240 total μs; 668606.000 swaps; 3002113.000 compares
Quick Sort; std::string type; 256 byte length; 1 iteration; 131072 strings array; 72514.242 sort μs; 236122.718 rand gen μs; 19868.133 overhead μs; 328505.093 total μs; 669046.000 swaps; 3035859.000 compares
Quick Sort; std::string type; 512 byte length; 1 iteration; 131072 strings array; 85693.598 sort μs; 470881.815 rand gen μs; 24236.743 overhead μs; 580812.156 total μs; 668884.000 swaps; 3002291.000 compares
Quick Sort; std::string type; 1024 byte length; 1 iteration; 131072 strings array; 97988.214 sort μs; 923229.396 rand gen μs; 31445.120 overhead μs; 1052662.730 total μs; 668848.000 swaps; 2994710.000 compares
Quick Sort; std::string type; 2 byte length; 1 iteration; 262144 strings array; 111013.715 sort μs; 25933.778 rand gen μs; 19754.309 overhead μs; 156701.802 total μs; 1650428.000 swaps; 5777952.000 compares
Quick Sort; std::string type; 4 byte length; 1 iteration; 262144 strings array; 136161.504 sort μs; 36423.663 rand gen μs; 19729.919 overhead μs; 192315.086 total μs; 1406424.000 swaps; 6213404.000 compares
