Quick Sort; Symbiont<1024ul, 3ul, 32ul> type; 1024 byte length; 200 iteration; 1024 strings array; 145.866 sort μs; 6770.301 rand gen μs; 2.155 overhead μs; 6918.322 total μs; 3564.530 swaps; 13809.975 compares
Merge Sort; Symbiont<8ul, 3ul, 32ul> type; 8 byte length; 200 iteration; 16 strings array; 0.906 sort μs; 1.249 rand gen μs; 0.373 overhead μs; 2.528 total μs; 54.675 swaps; 45.705 compares
Merge Sort; Symbiont<128ul, 3ul, 32ul> type; 128 byte length; 200 iteration; 16 strings array; 0.864 sort μs; 13.977 rand gen μs; 0.313 overhead μs; 15.155 total μs; 55.200 swaps; 45.650 compares
Merge Sort; Symbiont<1024ul, 3ul, 32ul> type; 1024 byte length; 200 iteration; 16 strings array; 0.946 sort μs; 107.071 rand gen μs; 0.279 overhead μs; 108.296 total μs; 54.800 swaps; 45.630 compares
Merge Sort; Symbiont<8ul, 3ul, 32ul> type; 8 byte length; 200 iteration; 32 strings array; 2.053 sort μs; 2.323 rand gen μs; 0.338 overhead μs; 4.713 total μs; 140.590 swaps; 121.650 compares
Merge Sort; Symbiont<128ul, 3ul, 32ul> type; 128 byte length; 200 iteration; 32 strings array; 2.121 sort μs; 28.001 rand gen μs; 0.323 overhead μs; 30.445 total μs; 140.725 swaps; 121.325 compares
Merge Sort; Symbiont<1024ul, 3ul, 32ul> type; 1024 byte length; 200 iteration; 32 strings array; 2.314 sort μs; 218.823 rand gen μs; 0.350 overhead μs; 221.486 total μs; 140.805 swaps; 121.345 compares
Merge Sort; Symbiont<8ul, 3ul, 32ul> type; 8 byte length; 200 iteration; 64 strings array; 4.872 sort μs; 4.254 rand gen μs; 0.335 overhead μs; 9.462 total μs; 344.760 swaps; 304.690 compares
Merge Sort; Symbiont<128ul, 3ul, 32ul> type; 128 byte length; 200 iteration; 64 strings array; 4.907 sort μs; 56.160 rand gen μs; 0.302 overhead μs; 61.368 total μs; 344.625 swaps; 305.325 compares
Merge Sort; Symbiont<1024ul, 3ul, 32ul> type; 1024 byte length; 200 iteration; 64 strings array; 5.577 sort μs; 427.355 rand gen μs; 0.384 overhead μs; 433.316 total μs; 344.655 swaps; 304.845 compares
Merge Sort; Symbiont<8ul, 3ul, 32ul> type; 8 byte length; 200 iteration; 128 strings array; 11.193 sort μs; 8.129 rand gen μs; 0.442 overhead μs; 19.764 total μs; 815.750 swaps; 736.275 compares
Merge Sort; Symbiont<128ul, 3ul, 32ul> type; 128 byte length; 200 iteration; 128 strings array; 11.579 sort μs; 110.820 rand gen μs; 0.415 overhead μs; 122.814 total μs; 816.050 swaps; 735.925 compares
Merge Sort; Symbiont<1024ul, 3ul, 32ul> type; 1024 byte length; 200 iteration; 128 strings array; 13.592 sort μs; 854.225 rand gen μs; 0.716 overhead μs; 868.532 total μs; 816.295 swaps; 735.295 compares
Merge Sort; Symbiont<8ul, 3ul, 32ul> type; 8 byte length; 200 iteration; 256 strings array; 26.726 sort μs; 16.863 rand gen μs; 0.525 overhead μs; 44.114 total μs; 1887.335 swaps; 1727.260 compares
Merge Sort; Symbiont<128ul, 3ul, 32ul> type; 128 byte length; 200 iteration; 256 strings array; 27.517 sort μs; 223.285 rand gen μs; 0.554 overhead μs; 251.356 total μs; 1885.885 swaps; 1727.140 compares
Merge Sort; Symbiont<1024ul, 3ul, 32ul> type; 1024 byte length; 200 iteration; 256 strings array; 30.247 sort μs; 1701.409 rand gen μs; 0.804 overhead μs; 1732.460 total μs; 1885.510 swaps; 1726.575 compares
Merge Sort; Symbiont<8ul, 3ul, 32ul> type; 8 byte length; 200 iteration; 512 strings array; 58.549 sort μs; 32.323 rand gen μs; 0.651 overhead μs; 91.523 total μs; 4288.255 swaps; 3962.425 compares
Merge Sort; Symbiont<128ul, 3ul, 32ul> type; 128 byte length; 200 iteration; 512 strings array; 62.385 sort μs; 440.879 rand gen μs; 0.895 overhead μs; 504.159 total μs; 4285.700 swaps; 3962.785 compares
Merge Sort; Symbiont<1024ul, 3ul, 32ul> type; 1024 byte length; 200 iteration; 512 strings array; 72.524 sort μs; 3387.519 rand gen μs; 1.039 overhead μs; 3461.082 total μs; 4284.355 swaps; 3963.320 compares
Merge Sort; Symbiont<8ul, 3ul, 32ul> type; 8 byte length; 200 iteration; 1024 strings array; 131.324 sort μs; 64.487 rand gen μs; 0.950 overhead μs; 196.761 total μs; 9592.935 swaps; 8946.605 compares
Merge Sort; Symbiont<128ul, 3ul, 32ul> type; 128 byte length; 200 iteration; 1024 strings array; 140.642 sort μs; 881.810 rand gen μs; 1.905 overhead μs; 1024.357 total μs; 9592.325 swaps; 8945.495 compares
Merge Sort; Symbiont<1024ul, 3ul, 32ul> type; 1024 byte length; 200 iteration; 1024 strings array; 172.120 sort μs; 6787.379 rand gen μs; 2.022 overhead μs; 6961.521 total μs; 9594.280 swaps; 8948.520 compares
Quick Sort; Head<8ul, 7ul, 16ul> type; 8 byte length; 200 iteration; 16 strings array; 0.933 sort μs; 1.280 rand gen μs; 0.383 overhead μs; 2.596 total μs; 32.485 swaps; 82.075 compares
Quick Sort; Head<128ul, 7ul, 16ul> type; 128 byte length; 200 iteration; 16 strings array; 1.073 sort μs; 14.142 rand gen μs; 0.305 overhead μs; 15.520 total μs; 32.615 swaps; 82.365 compares
Quick Sort; Head<1024ul, 7ul, 16ul> type; 1024 byte length; 200 iteration; 16 strings array; 1.012 sort μs; 107.123 rand gen μs; 0.270 overhead μs; 108.405 total μs; 32.325 swaps; 81.865 compares
Quick Sort; Head<8ul, 7ul, 16ul> type; 8 byte length; 200 iteration; 32 strings array; 2.181 sort μs; 2.367 rand gen μs; 0.386 overhead μs; 4.935 total μs; 73.180 swaps; 208.715 compares
Quick Sort; Head<128ul, 7ul, 16ul> type; 128 byte length; 200 iteration; 32 strings array; 2.488 sort μs; 28.347 rand gen μs; 0.282 overhead μs; 31.118 total μs; 73.625 swaps; 209.215 compares
Quick Sort; Head<1024ul, 7ul, 16ul> type; 1024 byte length; 200 iteration; 32 strings array; 2.362 sort μs; 212.984 rand gen μs; 0.331 overhead μs; 215.677 total μs; 73.635 swaps; 204.070 compares
Quick Sort; Head<8ul, 7ul, 16ul> type; 8 byte length; 200 iteration; 64 strings array; 4.739 sort μs; 4.285 rand gen μs; 0.383 overhead μs; 9.407 total μs; 163.445 swaps; 502.535 compares
Quick Sort; Head<128ul, 7ul, 16ul> type; 128 byte length; 200 iteration; 64 strings array; 5.794 sort μs; 55.758 rand gen μs; 0.348 overhead μs; 61.900 total μs; 162.575 swaps; 506.055 compares
Quick Sort; Head<1024ul, 7ul, 16ul> type; 1024 byte length; 200 iteration; 64 strings array; 5.537 sort μs; 427.549 rand gen μs; 0.327 overhead μs; 433.412 total μs; 162.405 swaps; 504.555 compares
Quick Sort; Head<8ul, 7ul, 16ul> type; 8 byte length; 200 iteration; 128 strings array; 10.765 sort μs; 8.175 rand gen μs; 0.419 overhead μs; 19.358 total μs; 355.880 swaps; 1188.845 compares
